Numero,Titre,Pasteur,Date,Resume,Prix
1,"Le Royaume de Dieu","Prophete NEEMA SIKATENDA","2024-11-01","Découvrez la nature et les implications du Royaume de Dieu dans votre vie quotidienne. Une étude approfondie basée sur les Évangiles de Matthieu, Marc et Luc.","5,00"
2,"La gloire de Salomon","Evangeliste David MUKUNA","2024-11-05","Analyse de la sagesse et de la richesse du Roi Salomon, et comment cette gloire préfigure la splendeur du Royaume à venir, notamment son temple.","6,99"
3,"La bonne nouvelle du Royaume de Dieu","Pasteur Charly","2024-11-12","Un message fondamental sur le cœur de l'Évangile : le message de repentance et d'accès à la vie éternelle dans le Royaume de Dieu.","5,50"
4,"Vivre dans la Vérité","Pasteur Jean Marc","2024-11-19","Comment la Parole de Dieu doit être le fondement de nos décisions et de notre marche, même face aux défis de ce monde.","5,50"
5,"La Puissance du Saint-Esprit","Prophete NEEMA SIKATENDA","2024-11-26","Comprendre le rôle du Consolateur dans la vie du croyant et son impact sur la puissance du témoignage.","7,00"
6,"Le Bon Berger","Pasteur Jean Marc","2024-12-03","Une méditation sur le Psaume 23 et la protection divine.","4,00"
7,"La Prière Efficace","Evangeliste David MUKUNA","2024-12-10","Les clés bibliques pour une vie de prière qui produit des résultats, en s'appuyant sur l'enseignement du Christ.","10,00"
8,"La Foi qui Déplace les Montagnes","Prophete NEEMA SIKATENDA","2024-12-17","Étude de Matthieu 17:20 et les applications pratiques de la foi inébranlable dans nos vies.","5,00"
9,"L'Amour Agapè","Pasteur Charly","2025-01-07","Exploration de l'amour inconditionnel de Dieu et comment nous devons le manifester à notre entourage.","5,00"
10,"Le Combat Spirituel","Evangeliste David MUKUNA","2025-01-14","Comprendre les stratégies de l'ennemi et comment revêtir les armes de Dieu pour la victoire.","5,00"
11,"Les Principes du Discernement","Prophete NEEMA SIKATENDA","2025-01-21","Développer l'esprit de discernement pour identifier la volonté de Dieu au milieu du bruit du monde.","5,00"
12,"La Patience dans l'Épreuve","Pasteur Jean Marc","2025-01-28","Tirer des leçons des défis et faire confiance au timing parfait de Dieu.","5,00"
13,"La Rédemption par le Sang","Pasteur Charly","2025-02-04","L'importance du sacrifice de Jésus-Christ et la puissance du sang pour la purification et la justification.","5,00"
14,"L'Autorité du Croyant","Prophete NEEMA SIKATENDA","2025-02-11","Réaliser et exercer l'autorité spirituelle que Christ nous a donnée sur les puissances des ténèbres.","5,00"
15,"Être Sel et Lumière","Pasteur Jean Marc","2025-02-18","Le rôle du chrétien dans la société : impacter le monde par notre témoignage et nos actions.","5,00"
16,"Le Jeûne qui Plait à Dieu","Evangeliste David MUKUNA","2025-02-25","Au-delà de l'abstinence alimentaire, les vrais objectifs spirituels du jeûne selon Ésaïe 58.","5,00"
17,"La Sanctification Personnelle","Prophete NEEMA SIKATENDA","2025-03-04","Un appel à la séparation du monde et à la consécration totale à Dieu pour une vie sainte.","5,00"
18,"La Louange qui Libère","Pasteur Charly","2025-03-11","Comment la louange et l'adoration sont des armes puissantes contre l'oppression et l'inquiétude.","5,00"
19,"L'Espérance Éternelle","Evangeliste David MUKUNA","2025-03-18","Se focaliser sur la promesse du ciel et la vie après la résurrection, source d'une joie inébranlable.","5,00"
20,"La Prophétie Aujourd'hui","Prophete NEEMA SIKATENDA","2025-03-25","Le don prophétique dans l'église moderne et comment le canaliser avec sagesse et ordre.","5,00"
21,"Les Dons Spirituels","Pasteur Jean Marc","2025-04-01","Étude complète des différents dons et de leur utilisation pour l'édification du corps de Christ.","5,00"
22,"Vivre l'Évangile","Pasteur Charly","2025-04-08","Mettre en pratique les commandements du Christ au quotidien, au-delà de la simple connaissance théorique.","5,00"
23,"La Nouvelle Alliance","Evangeliste David MUKUNA","2025-04-15","Comprendre le contraste et la supériorité de la Nouvelle Alliance par rapport à l'Ancienne Loi.","5,00"
24,"Le Coeur du Père","Prophete NEEMA SIKATENDA","2025-04-22","Découvrir l'amour inconditionnel et la compassion de Dieu à travers le prisme de la paternité divine.","5,00"
25,"L'Humilité Véritable","Pasteur Jean Marc","2025-04-29","La leçon de l'humilité selon Philippiens 2:5-8 et son impact sur les relations interpersonnelles.","5,00"
26,"La Persévérance dans la Course","Pasteur Charly","2025-05-06","Courir avec patience la course qui nous est proposée, en gardant les yeux fixés sur Jésus.","5,00"
27,"Le Repentir Sincère","Evangeliste David MUKUNA","2025-05-13","La nature du véritable repentir et la restauration qu'il apporte dans la vie d'un croyant.","5,00"
28,"Les Puissances de la Restauration","Prophete NEEMA SIKATENDA","2025-05-20","Comment Dieu restaure ce que les années ont dévoré, selon Joël 2:25.","5,00"
29,"Servir avec Joie","Pasteur Jean Marc","2025-05-27","Trouver le plaisir et le sens dans le service désintéressé pour le Royaume de Dieu.","5,00"
30,"L'Unité du Corps","Pasteur Charly","2025-06-03","L'importance de l'unité parmi les croyants pour la manifestation de la gloire de Dieu.","5,00"
31,"La Dîme et les Offrandes","Evangeliste David MUKUNA","2025-06-10","Enseignement sur la gestion financière biblique et la bénédiction de la générosité.","5,00"
32,"Le Mandat Missionnaire","Prophete NEEMA SIKATENDA","2025-06-17","Répondre à l'appel d'aller faire des disciples de toutes les nations, l'urgence de l'Évangile.","5,00"
33,"La Sagesse Pratique","Pasteur Jean Marc","2025-06-24","Application des proverbes dans la vie quotidienne pour prendre de meilleures décisions et éviter les pièges.","5,00"
34,"La Vie Abondante","Pasteur Charly","2025-07-01","Ce que signifie avoir la vie en abondance promise par Jésus (Jean 10:10) et comment la vivre pleinement.","5,00"
35,"Revêtir le Christ","Prophete NEEMA SIKATENDA","2025-07-08","Abandonner les œuvres de la chair et revêtir les attributs de Christ pour refléter sa lumière.","5,00"
